plot,file,true_species,cluster
summer_irkutsk2025/complete_CH435/complete_BUR1_CH435_PROB1_markup_GIRLS,C:\Users\Gleb\Work\OpenForest\tree-cluster\las_cylinders_5m\summer_irkutsk2025\complete_CH435\complete_BUR1_CH435_PROB1_markup_GIRLS\id_4796_birch.las,birch,5
summer_irkutsk2025/complete_CH435/complete_BUR1_CH435_PROB1_markup_GIRLS,C:\Users\Gleb\Work\OpenForest\tree-cluster\las_cylinders_5m\summer_irkutsk2025\complete_CH435\complete_BUR1_CH435_PROB1_markup_GIRLS\id_4797_birch.las,birch,0
summer_irkutsk2025/complete_CH435/complete_BUR1_CH435_PROB1_markup_GIRLS,C:\Users\Gleb\Work\OpenForest\tree-cluster\las_cylinders_5m\summer_irkutsk2025\complete_CH435\complete_BUR1_CH435_PROB1_markup_GIRLS\id_4798_birch.las,birch,0
summer_irkutsk2025/complete_CH435/complete_BUR1_CH435_PROB1_markup_GIRLS,C:\Users\Gleb\Work\OpenForest\tree-cluster\las_cylinders_5m\summer_irkutsk2025\complete_CH435\complete_BUR1_CH435_PROB1_markup_GIRLS\id_4799_birch.las,birch,4
summer_irkutsk2025/complete_CH435/complete_BUR1_CH435_PROB1_markup_GIRLS,C:\Users\Gleb\Work\OpenForest\tree-cluster\las_cylinders_5m\summer_irkutsk2025\complete_CH435\complete_BUR1_CH435_PROB1_markup_GIRLS\id_4800_birch.las,birch,0
summer_irkutsk2025/complete_CH435/complete_BUR1_CH435_PROB1_markup_GIRLS,C:\Users\Gleb\Work\OpenForest\tree-cluster\las_cylinders_5m\summer_irkutsk2025\complete_CH435\complete_BUR1_CH435_PROB1_markup_GIRLS\id_4801_birch.las,birch,4
summer_irkutsk2025/complete_CH435/complete_BUR1_CH435_PROB1_markup_GIRLS,C:\Users\Gleb\Work\OpenForest\tree-cluster\las_cylinders_5m\summer_irkutsk2025\complete_CH435\complete_BUR1_CH435_PROB1_markup_GIRLS\id_4802_birch.las,birch,4
summer_irkutsk2025/complete_CH435/complete_BUR1_CH435_PROB1_markup_GIRLS,C:\Users\Gleb\Work\OpenForest\tree-cluster\las_cylinders_5m\summer_irkutsk2025\complete_CH435\complete_BUR1_CH435_PROB1_markup_GIRLS\id_4803_birch.las,birch,2
summer_irkutsk2025/complete_CH435/complete_BUR1_CH435_PROB1_markup_GIRLS,C:\Users\Gleb\Work\OpenForest\tree-cluster\las_cylinders_5m\summer_irkutsk2025\complete_CH435\complete_BUR1_CH435_PROB1_markup_GIRLS\id_4804_birch.las,birch,2
summer_irkutsk2025/complete_CH435/complete_BUR1_CH435_PROB1_markup_GIRLS,C:\Users\Gleb\Work\OpenForest\tree-cluster\las_cylinders_5m\summer_irkutsk2025\complete_CH435\complete_BUR1_CH435_PROB1_markup_GIRLS\id_4805_birch.las,birch,0
